#{"t_start": 1767529796.5538332, "env_id": "None"}
r,l,t
-874.535087,500,2.809494
-950.93639,500,3.588178
-903.276219,500,4.341844
-817.672145,500,5.066197
-719.090327,500,7.02772
-709.240234,500,7.510753
-653.959477,500,7.968492
-729.964642,500,8.528674
-649.631972,500,10.541982
-621.632263,500,11.187441
-733.349668,500,11.97908
-817.447493,500,12.502761
-620.680079,500,14.169875
-531.344006,500,14.624893
-861.718817,500,15.251074
-825.104326,500,15.780892
-743.41932,500,17.583039
-752.508823,500,17.985854
-736.963941,500,18.389096
-533.135728,500,18.856017
-675.937663,500,20.619235
-979.903306,500,21.114604
-820.36055,500,21.588587
-888.854229,500,22.048648
-1080.582513,500,23.848469
-586.385114,500,24.339406
-578.51656,500,24.79328
-661.17634,500,25.298906
-697.789588,500,26.922091
-500.182201,500,27.35523
-806.207004,500,27.940749
-745.416925,500,28.416216
-839.967353,500,30.014407
-520.441375,500,30.446975
-918.306126,500,30.985642
-770.821334,500,31.495537
-884.399432,500,33.642187
-824.633767,500,34.135782
-635.413,500,34.577954
-521.243569,500,35.113459
-871.670899,500,37.129995
-445.608738,500,37.575778
-723.348142,500,38.388856
-613.602203,500,38.987436
-580.271867,500,39.499669
-713.964431,500,41.240725
-669.125323,500,41.810067
-482.512277,500,42.374768
-530.184248,500,42.999834
-723.029168,500,44.846493
-681.993709,500,45.305347
-605.442607,500,45.870344
-711.139152,500,46.415196
-792.39462,500,48.101154
-560.476417,500,48.688323
-892.257624,500,49.162849
-729.331407,500,49.572785
-540.745877,500,51.405784
-954.398388,500,52.061211
-510.407047,500,52.672985
-985.381583,500,53.341086
-903.240661,500,55.343443
-832.834343,500,55.829428
-756.394878,500,56.34947
-440.763529,500,56.864962
-767.128598,500,58.549994
-779.681612,500,59.059608
-706.249016,500,59.566303
-794.125349,500,60.0062
-1021.179671,500,61.837035
-847.742503,500,62.42478
-496.915689,500,63.022188
-635.290645,500,63.577444
-782.213283,500,65.732027
-986.05334,500,66.302993
-745.174005,500,66.790541
-734.949596,500,67.309072
-860.130574,500,69.20734
-898.484833,500,69.783871
-753.740713,500,70.22051
-1008.326034,500,70.667897
-650.031394,500,72.725276
-645.751459,500,73.290176
-646.470107,500,74.083892
-722.795084,500,74.853033
-685.294827,500,76.833309
-478.341524,500,83.262787
-845.734467,500,85.04062
-768.70808,500,86.654811
-1031.760019,500,88.336725
-475.747327,500,95.630207
-516.988915,500,97.276673
-570.115674,500,98.878436
-672.167925,500,100.600606
-566.131572,500,107.260562
-951.072908,500,109.069585
-980.181422,500,111.395727
-787.994482,500,113.359827
-691.806537,500,120.047165
-631.350912,500,121.940521
-827.733647,500,123.875794
-455.611827,500,125.750169
-641.394804,500,132.462178
-754.960256,500,134.358127
-491.841209,500,136.642688
-526.867882,500,138.469498
-449.775842,500,145.142458
-842.440086,500,147.136302
-691.202028,500,148.979868
-1103.794958,500,150.958198
-540.249389,500,158.298517
-539.262647,500,160.277495
-770.194676,500,162.187766
-862.135416,500,164.223502
-728.544697,500,171.478857
-706.281543,500,173.338684
-654.83959,500,175.208184
-1022.28259,500,177.079156
-612.689323,500,183.772537
-673.118262,500,185.552049
-716.576444,500,187.82356
-436.822004,500,189.579757
-822.542318,500,196.828009
-805.069897,500,198.836207
-542.356778,500,201.106879
-645.414852,500,202.566822
-782.631901,500,204.893924
-706.076796,500,205.700669
-793.285379,500,206.706697
-700.213037,500,207.718311
-806.990962,500,208.810912
-874.653098,500,211.245626
-865.946972,500,212.284557
-817.690298,500,213.304838
-676.812815,500,214.058993
-571.002392,500,216.39416
-536.107432,500,217.327298
-435.130355,500,218.205935
-768.713225,500,219.087538
-596.627639,500,221.439249
-844.366076,500,222.468704
-698.151616,500,223.393198
-313.650062,500,224.282891
-834.972187,500,226.312188
-872.835138,500,227.218522
-745.879333,500,228.03523
-702.393849,500,229.0153
-448.884661,500,231.316965
-739.850524,500,231.973837
-876.308465,500,232.743229
-637.526888,500,233.569588
-903.790955,500,235.970503
-685.306788,500,236.68895
-1032.19524,500,237.638489
-615.522494,500,238.550103
-868.276654,500,241.590692
-648.5411,500,242.553116
-698.467555,500,243.506508
-449.84356,500,244.4148
-613.877342,500,247.532998
-955.626786,500,248.518591
-656.969945,500,249.3477
-425.612653,500,250.247201
-765.478484,500,253.180946
-914.083915,500,254.077681
-919.858258,500,254.910947
-769.049797,500,255.823999
-826.104612,500,258.933456
-724.01396,500,259.796922
-489.515861,500,260.51513
-678.873426,500,261.176651
-558.24705,500,261.992534
-645.812615,500,264.266304
-713.254058,500,265.038324
-849.277154,500,265.850772
-805.206302,500,266.581365
-601.206765,500,268.782618
-552.60436,500,269.514508
-872.39597,500,270.144055
-629.184845,500,270.695412
-785.737898,500,273.097184
-734.164852,500,273.695334
-714.206036,500,274.269231
-885.499677,500,274.80732
-787.683235,500,276.654548
-700.67525,500,277.308035
-790.756411,500,277.9088
-545.858184,500,278.404284
-918.457286,500,280.252125
-612.990002,500,282.795199
-676.38179,500,284.705321
-630.104118,500,286.529854
-588.511596,500,293.665925
-711.759865,500,295.513051
-643.787363,500,297.461552
972.795542,44,297.618616
-906.095998,500,299.799369
-802.651851,500,306.321131
-716.530974,500,308.271985
-650.424069,500,310.152731
-650.397655,500,311.982342
-794.145004,500,319.176585
-497.760897,500,320.446995
-484.341746,500,321.771571
